date,yt_pred_d1d12_mlp,yt_true
1952-04-01,1761.3966541436248,1954
1952-05-01,2066.1017664945207,1876
1952-06-01,2075.1671450320846,2272
1952-07-01,2542.912595390935,2612
1952-08-01,3404.2509184408864,3590
1952-09-01,2386.925616540566,2496
1952-10-01,2439.75006286389,2441
1952-11-01,2266.447247696229,2340
1952-12-01,2026.2695548128067,2090
1953-01-01,1899.4912266596425,1812
1953-02-01,1785.6803397913386,1788
1953-03-01,1782.7760162474615,1837
1953-04-01,2040.4598131588214,1993
1953-05-01,1878.882379005739,2021
1953-06-01,2379.6677918888245,2199
1953-07-01,2502.3814918682037,2622
1953-08-01,3562.8670645633956,3787
1953-09-01,2658.2049218104366,2914
1953-10-01,2823.4722302575283,2487
1953-11-01,2346.306580140659,2314
1953-12-01,2022.9697407527556,2139
1954-01-01,1823.4797567884925,2124
1954-02-01,2064.485182565391,2214
1954-03-01,2226.4006779970173,2234
1954-04-01,2352.122449476591,2279
1954-05-01,2268.2185590246163,2423
1954-06-01,2565.8619716450103,2290
1954-07-01,2674.277827797877,2903
1954-08-01,4032.4244751788383,4485
1954-09-01,3578.824075375662,3085
1954-10-01,2619.307587847654,2852
1954-11-01,2638.247975982541,2629
1954-12-01,2419.0397735099405,2435
1955-01-01,2384.7066654321407,2227
1955-02-01,2280.7609346313748,1944
1955-03-01,1920.7045226493192,2125
1955-04-01,2131.3817480372963,2260
1955-05-01,2367.07236626786,2299
1955-06-01,2126.1053455940746,2323
1955-07-01,2897.8383659660713,2659
1955-08-01,4201.126857440494,3761
1955-09-01,2319.006149540981,2779
1955-10-01,2504.066223863534,2761
1955-11-01,2502.5168669468385,2446
1955-12-01,2211.4674019857957,2278
1956-01-01,2027.2643983615962,1879
1956-02-01,1553.7857770684868,1881
1956-03-01,2025.146232394461,2165
1956-04-01,2265.165504155204,2199
1956-05-01,2198.643085226663,2308
1956-06-01,2293.3254092735024,2529
1956-07-01,2828.197313496232,2573
1956-08-01,3635.9859821580912,3946
1956-09-01,2927.25330353965,3200
1956-10-01,3150.773692761102,2574
1956-11-01,2220.9850902811995,2422
1956-12-01,2214.1951078477796,2446
1957-01-01,2013.1088430786695,2828
1957-02-01,2799.793246121805,2879
1957-03-01,3132.1258777540716,2800
1957-04-01,2792.8030470769936,2835
1957-05-01,2907.7133962417593,2585
1957-06-01,2770.0395253719726,2787
1957-07-01,2794.2682633492986,3334
1957-08-01,4673.783806836753,4746
1957-09-01,3965.558286897667,3613
1957-10-01,2949.400064929272,3463
1957-11-01,3273.7428461289637,3274
1957-12-01,3268.577951805244,2801
1958-01-01,3147.1023577548995,2488
1958-02-01,2495.96544383154,2386
1958-03-01,2261.7675731257714,2428
1958-04-01,2422.052267139612,2678
1958-05-01,2389.614996762837,2744
1958-06-01,2906.780124947313,2772
1958-07-01,3281.226799959013,3520
1958-08-01,4894.646201631156,3833
1958-09-01,2653.614921859158,3377
1958-10-01,3183.2101462888986,3013
1958-11-01,2786.8259848868483,2871
1958-12-01,2350.033588754788,2592
1959-01-01,2234.4089888668877,2375
1959-02-01,2231.428895589892,2304
1959-03-01,2310.4518836565258,2464
1959-04-01,2680.2500297711467,2557
1959-05-01,2583.8061864724987,2739
1959-06-01,2732.6587222234575,2714
1959-07-01,3419.1960176756947,3102
1959-08-01,3375.088129073898,3961
1959-09-01,3465.0494345116604,3772
1959-10-01,3379.556128407441,3245
1959-11-01,3065.8349655739075,3104
1959-12-01,2788.7427198482146,2869
1960-01-01,2617.0899942485485,2513
1960-02-01,2407.362034509668,2385
1960-03-01,2507.228284779476,2756
1960-04-01,2812.4922199108914,2927
1960-05-01,3073.9422086982477,2940
1960-06-01,2877.3216280436536,3180
1960-07-01,3532.371411167922,3791
1960-08-01,4617.18633142305,4093
1960-09-01,3868.5676808741828,4309
1960-10-01,3745.203337351315,3532
1960-11-01,3353.480470207096,3408
1960-12-01,3134.9879624426103,2839
1961-01-01,2443.7058052667626,2792
1961-02-01,2625.69615508919,2798
1961-03-01,3135.9360534851676,3007
1961-04-01,3140.8182704120727,3086
1961-05-01,3058.9516114105854,3201
1961-06-01,3404.804301761512,3428
1961-07-01,4001.8704251855306,3754
1961-08-01,4016.752285634195,4917
1961-09-01,5094.603236924373,3760
1961-10-01,2942.61496947918,3609
1961-11-01,3440.770620132297,3471
1961-12-01,2868.315614858615,3347
1962-01-01,3263.6618590947564,3333
1962-02-01,3305.7716819711823,3456
1962-03-01,3624.987524847036,3569
1962-04-01,3609.8560318818236,3900
1962-05-01,3981.4378065976134,3909
1962-06-01,4096.991965442615,4098
1962-07-01,4389.702735999992,4826
1962-08-01,5950.770968892084,5770
1962-09-01,4581.513182102892,5108
1962-10-01,4917.494273911452,4360
1962-11-01,4191.060118041803,4100
1962-12-01,3937.63777797273,3562
1963-01-01,3513.648300656736,3284
1963-02-01,3366.0640619684928,3278
1963-03-01,3352.6854354383468,3424
1963-04-01,3715.623900330065,3843
1963-05-01,3813.269454973579,3614
1963-06-01,3763.2436580284875,3536
1963-07-01,4218.651839175753,4505
1963-08-01,5411.947992194309,5456
1963-09-01,4750.531980127624,4881
1963-10-01,4091.365542678439,4041
1963-11-01,3731.3140745979535,3724
1963-12-01,3140.95248970165,3525
1964-01-01,3206.6535259046295,3437
1964-02-01,3393.356230090825,3324
1964-03-01,3430.8427254298913,3977
1964-04-01,4360.9715110781635,4025
1964-05-01,3758.1871710066735,4016
1964-06-01,3900.358922439149,4031
1964-07-01,4965.539905277963,4489
1964-08-01,5402.723004834685,5563
1964-09-01,4951.566982772554,5709
1964-10-01,4838.696197015328,4620
1964-11-01,4269.579334655187,4160
1964-12-01,3924.625212688975,4012
1965-01-01,3888.5339559196236,3987
1965-02-01,3842.34956991129,4155
1965-03-01,4774.484386417917,4054
1965-04-01,4061.639830868071,4485
1965-05-01,4435.3958859854065,4558
1965-06-01,4540.589801820224,4462
1965-07-01,4881.428193171007,4594
1965-08-01,5627.6049668611195,6481
1965-09-01,6594.601559671539,6345
1965-10-01,5224.473814237466,5142
1965-11-01,4639.745919343895,4824
1965-12-01,4636.357872027791,4573
1966-01-01,4513.07858375091,4158
1966-02-01,4284.95681131377,4140
1966-03-01,3997.788025404745,4251
1966-04-01,4640.332178335202,4734
1966-05-01,4774.87247971338,4858
1966-06-01,4722.037648918204,4798
1966-07-01,4892.520759955514,5080
1966-08-01,6929.772142001224,6905
1966-09-01,6734.969845657073,5504
1966-10-01,4249.050665109018,5457
1966-11-01,5100.192725004152,5198
1966-12-01,4914.660053547132,4890
